Modulo Base;Descrizioni Multilingua
;Gestione Contatti
;Budget (Cli/For)
;Multivaluta
Contabilità Generale;Gestione Pro-rata 
;Gestione Plafond
;Modelli contabili personalizzabili
;IVA Agenzie di Viaggio
;Ratei e risconti automatici
;Analisi e riclassificazioni bilancio
;Presentazioni effetti parametrizzabili
;Gestione reversali di incasso
;Gestione Factoring
;Solleciti di pagamento
;Gestione automatica insoluti
;Analisi Scadenzari e Cash Flow
;Gestione parcelle professionisti e ritenute d'acconto
;Illimitati registri IVA vendite
;Illimitati registri IVA acquisti
;Illimitati registri IVA di altro tipo
Contabilità Previsionale;
XBRL Bilancio;
Analisi di Bilancio (Basilea II);
Bilancio Consolidato ;
Contabilità Analitica;Linee di Prodotto
;Ribaltamenti
Cespiti ;
Gestione cassa;
Intrastat;
Gestione Banche Avanzato;
Libro Inventari e Allegati;
Tesoreria;
Fatturazione Elettronica Passiva;
Fatturazione Elettronica Import. Ciclo Passivo;
Ordini da clienti;Offerte a clienti
;Politiche prezzi
;Multilistino
;Codice parlante
;Multiple Unità di Misura dell'Articolo
;Quantità accessorie
;Codice a barre dàacquisto e di vendita 
;Articoli equivalenti
;Produttori/Categorie prodotti
;Copia documenti
;Import/Export file articoli e note
Vendite;Politiche prezzi
;Multilistino
;Codice parlante
;Gestione di pià bollettari
;Unità di misura derivate dall'articolo
;Quantità accessorie
;Codice a barre dàacquisto e di vendita 
;Picking List
;Articoli equivalenti
;Import/Export file articoli e note
;Produttori/Categorie prodotti
;Copia documenti
Conai;
RAEE;
Sales Force Management;
Gestione Fidi;
Ordini fornitori;Gestione offerte da fornitore
;Politiche prezzi 
;Multilistino
;Codice parlante
;Unità di misura derivate dallàarticolo
;Quantità accessorie
;Codice a barre dàacquisto e di vendita 
;Articoli equivalenti
;Produttori/Categorie prodotti
;Copia documenti
;Import/Export file articoli e note
Acquisti;
Controllo qualità;
Magazzino;Multi deposito
;LIFO/FIFO a scatti continui
;Codice parlante
;Multi bollettario
;Unità di misura derivate dallàarticolo
;Quantità accessorie
;Codice a barre dàacquisto e di vendita 
;Articoli equivalenti
;Produttori/Categorie prodotti
;Import/Export file articoli e note
;Movimenti di magazzino di rettifica inventariale
;Note Tecniche
"Lotti e Matricole
Lots & Serials";
WMS ;Base
;Avanzato
;Mobile
Barcode Manager;
Distinta Base;Calendario Associato ai CdL
;Famiglie di CdL
;E.C.O.
Varianti;
Produzione Base;
Configuratore;
Produzione Avanzata;Gestione Disegni
;Storico disegni e indici di revisione
;Pannello di Controllo
;Dettaglio delle Consuntivazioni OdP
;Confronto tra OdP e Distinta
;Kanban
;Analisi materiali in produzione
Ordini Aperti;
Manufacturing Mobile;
Pianificazione;
Pianificazione Avanzata;Gestione Make or Buy
Attrezzi;
DMS ;Base
;Massive Archiving Plug-In
Mail Services;
Resources Management;
Calendario Aziendale;
Reporting Services;
Collaboration Services;
Administration Services;
Subscrption Management;
Job Scheduler;
Security;Access profiles
;Auditing
;Data Protection
Integration Tools ;IMS
;MagicLink
;Xgate
e-commerce;
Reporting Services Studio;
IMS Studio;
